"days","R_p","sd_p"
2020-07-15,2.1556,1.00505
2020-07-16,2.03,0.964
2020-07-17,1.85,0.739
2020-07-18,2.17,1.06
2020-07-19,2.11,0.792
2020-07-20,1.68,0.514
2020-07-21,1.64,0.586
2020-07-22,1.69,0.659
2020-07-23,2.17,1.1
2020-07-24,2.01,0.81
2020-07-25,1.98,1
2020-07-26,1.86,0.73
2020-07-27,1.79,0.665
2020-07-28,1.61,0.506
2020-07-29,1.7,0.682
2020-07-30,2.15,1.12
2020-07-31,NA,NA
2020-08-01,1.95,0.772
2020-08-02,1.71,0.614
2020-08-03,NA,NA
2020-08-04,NA,NA
2020-08-05,1.25,0.211
2020-08-06,1.45,0.445
2020-08-07,1.32,0.316
2020-08-08,1.3,0.281
2020-08-09,1.36,0.314
2020-08-10,1.41,0.309
2020-08-11,1.55,0.454
2020-08-12,1.42,0.351
2020-08-13,2,0.905
2020-08-14,1.91,0.612
2020-08-15,1.94,0.675
2020-08-16,1.68,0.477
2020-08-17,1.61,0.462
2020-08-18,1.42,0.328
2020-08-19,1.43,0.341
2020-08-20,1.31,0.286
2020-08-21,1.54,0.462
2020-08-22,1.35,0.286
2020-08-23,1.39,0.392
2020-08-24,1.4,0.348
2020-08-25,1.23,0.301
2020-08-26,1.22,0.298
2020-08-27,1.49,0.424
2020-08-28,1.5,0.374
2020-08-29,1.86,0.678
2020-08-30,1.7,0.524
2020-08-31,1.52,0.372
2020-09-01,1.47,0.309
2020-09-02,1.35,0.307
2020-09-03,NA,NA
2020-09-04,1.78,0.506
2020-09-05,1.69,0.458
2020-09-06,1.59,0.447
2020-09-07,1.78210720299134,0.493126245651758
2020-09-08,1.43433355683613,0.302483878384809
2020-09-09,1.2076242643006,0.197830329813107
2020-09-10,1.10350389138603,0.180267620806762
2020-09-11,1.40754454509583,0.33753977283894
2020-09-12,1.46566644827097,0.335957785472809
2020-09-13,1.26786921988143,0.261053444844857
2020-09-14,1.21514919265849,0.217038024610311
2020-09-15,1.07094778575625,0.192190528698147
2020-09-16,1.04101642068565,0.181082979380548
2020-09-17,1.14068952093667,0.193291924042639
2020-09-18,1.46871299458336,0.36425857246869
2020-09-19,1.64528405346347,0.338212000208886
2020-09-20,1.39624998925972,0.231349126238034
2020-09-21,1.409078173461,0.254728427568176
2020-09-22,1.33464411631622,0.243259805536524
2020-09-23,1.35417582824203,0.248774902161947
2020-09-24,1.72739076767726,0.484377436796922
2020-09-25,1.91789433667778,0.624921981036866
2020-09-26,1.77742925547233,0.461279181674242
2020-09-27,2.13822872189631,0.717710813806791
2020-09-28,1.83850806120946,0.414203112993187
2020-09-19,1.64528405346347,0.338212000208886
2020-09-20,1.39624998925972,0.231349126238034
2020-09-21,1.409078173461,0.254728427568176
2020-09-22,1.33464411631622,0.243259805536524
2020-09-23,1.35417582824203,0.248774902161947
2020-09-24,1.72739076767726,0.484377436796922
2020-09-25,1.91789433667778,0.624921981036866
2020-09-26,1.77742925547233,0.461279181674242
2020-09-27,2.13822872189631,0.717710813806791
2020-09-28,1.83850806120946,0.414203112993187
2020-09-30,1.84141373717046,0.447962879174099
2020-10-01,1.76664643370114,0.441629621229752
2020-10-02,1.94398218180361,0.596647436435828
2020-10-03,2.11010471854073,0.74732793205814
2020-10-04,2.04230475503297,0.641372429970623
2020-10-05,1.63816682035126,0.317786019376342
2020-10-06,1.20428767630983,0.249171343516113
2020-10-07,1.57958138319883,0.526284146730058
2020-10-08,2.15340413516767,1.03831213569041
2020-10-09,1.85515042645033,0.581588812824463
2020-10-10,1.70396098340773,0.527229561404728
2020-10-11,2.44535868966225,1.28512901531402
2020-10-23,1.88979345543799,0.94934502252205
